target.cycle,target.energy,target.edp,target.area,mapping.mapping,arch.pe,arch.mac,arch.meshX,arch.mem1_entries,arch.mem1_depth,arch.mem1_width,arch.mem1_instances,arch.mem1_word-bits,arch.mem1_network-word-bits,arch.mem1_n_rdwr_ports,arch.mem1_n_banks,arch.mem1_read_bandwidth,arch.mem1_write_bandwidth,arch.mem2_entries,arch.mem2_depth,arch.mem2_width,arch.mem2_instances,arch.mem2_meshX,arch.mem2_word-bits,arch.mem2_n_rdwr_ports,arch.mem2_n_banks,arch.mem2_read_bandwidth,arch.mem2_write_bandwidth,arch.name,prob.shape,prob.C,prob.Hdilation,prob.Hstride,prob.K,prob.N,prob.P,prob.Q,prob.R,prob.S,prob.Wdilation,prob.Wstride,target.gemmini_cycle
9853947.0,1361.1944119999998,13659.86,16.106937,L3[WIO] K8 Q28 - L2[WI] N1 K4X - L1[O] K2 S7 R7 Q4 P7 C3X - L0[W] P16,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,9853947.0
10431462.0,1571.886623,15774.2,16.106937,L3[WIO] Q8 K16 R7 - L2[WI] N1 K4X - L1[O] S7 Q14 P112 C3X - L0[W] N1,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,10431462.0
10508778.0,2313.378435,26001.04,16.106937,L3[WIO] Q8 S7 K16 - L2[WI] N1 K4X - L1[O] R7 Q14 C3X - L0[W] P112,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,10508778.0
474142992.0,2418.106682,24266.18,16.106937,L3[WIO] P4 Q112 K8 S7 - L2[WI] N1 K4X - L1[O] K2 R7 P7 C3X - L0[W] P4,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,474142992.0
14946241.0,1599.373612,24075.05,16.106937,L3[WIO] C3 Q2 P4 K8 - L2[WI] N1 K8X - L1[O] S7 R7 Q56 P2 - L0[W] P14,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,14946241.0
67168426.0,2669.346705,40181.14,16.106937,L3[WIO] C3 Q2 P4 K8 R7 S7 - L2[WI] N1 K8X - L1[O] Q56 - L0[W] P28,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,67168426.0
16627244.0,4341.986595,48801.43,16.106937,L3[WIO] R7 K16 P2 Q28 - L2[WI] N1 K4X - L1[O] S7 Q4 P7 C3X - L0[W] P8,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,16627244.0
16783889.0,5898.358477000001,99441.23,16.106937,L3[WIO] R7 K8 Q14 C3 P4 - L2[WI] N1 K8X - L1[O] S7 Q8 P4 - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,16783889.0
68747356.0,5948.230994,100282.0,16.106937,L3[WIO] R7 K8 Q14 C3 P4 S7 - L2[WI] N1 K8X - L1[O] Q8 P4 - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,68747356.0
16387739.0,1864.107,28060.03,16.106937,L3[WIO] K8 Q14 C3 P4 S7 - L2[WI] N1 K8X - L1[O] R7 Q8 P4 - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,16387739.0
13223245.0,4131.042165,46430.53,16.106937,L3[WIO] K16 S7 P2 Q28 - L2[WI] N1 K4X - L1[O] R7 Q4 P28 C3X - L0[W] P2,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,13223245.0
15116626.0,1800.880154,27108.29,16.106937,L3[WIO] K8 Q14 C3 P4 - L2[WI] N1 K8X - L1[O] S7 R7 Q8 P4 - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,15116626.0
12229790.0,3614.271524,40622.33,16.106937,L3[WIO] K8 Q16 R7 P8 - L2[WI] N1 K4X - L1[O] K2 S7 Q7 P2 C3X - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,12229790.0
27176035.0,15727.087004,309335.9,16.106937,L3[WIO] K8 Q16 S7 R7 P8 - L2[WI] N1 K4X - L1[O] K2 Q7 P2 C3X - L0[W] P7,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,27176035.0
69275459.0,3430.04442,103263.5,16.106937,L3[WIO] C3 P2 Q16 K8 R7 S7 - L2[WI] N1 K4X - L1[O] K2 Q7 P56 - L0[W] N1,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,69275459.0
13113474.0,4328.892226,48654.26,16.106937,L3[WIO] K16 R7 Q2 P7 - L2[WI] N1 K4X - L1[O] S7 Q56 P16 C3X - L0[W] N1,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,13113474.0
53427657.0,23309.654928,557065.2,16.106937,L3[WIO] K16 R7 S7 Q2 P7 - L2[WI] N1 K4X - L1[O] Q56 P16 C3X - L0[W] N1,16384,1,128,2048,2048,32,128,32,16,2,2,1,1,1048576,8192,1024,1,1,8,1,1,16,16,gemmini,cnn-layer,3,1,2,64,1,112,112,7,7,1,2,53427657.0
